Year,Exporter,Exporter_ISO3,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_ISO3,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2024,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Ethiopia,ETH,Sub-Saharan Africa,Missiles & Air Defence,SAM System,Defensive,166.0,49,Foreign Military Sales,Yes,40,950,2.4,2.9,Yes,Yes,Low,0.5,Stable,Yes,High
2006,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Combat Aircraft,Fighter Jet,Offensive,375.2,21,Government-to-Government,Yes,15,2111,4.1,4.9,No,No,Low,1.1,Declining,No,Low
2021,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Sensors & Electronics,C4ISR Package,Defensive,49.4,9,Direct Commercial Sale,No,36,1508,3.0,4.1,Yes,Yes,Low,3.9,Accelerating,No,High
2009,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Missiles & Air Defence,SAM System,Defensive,289.5,8,Foreign Military Sales,No,35,2049,4.0,5.0,No,No,Low,1.3,Stable,No,Low
2007,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Nigeria,NGA,Sub-Saharan Africa,Combat Aircraft,Fighter Jet,Offensive,326.4,19,Foreign Military Sales,No,31,2217,2.6,4.0,Yes,Yes,High,0.3,Declining,No,High
2006,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,679.2,12,Bilateral Defence Pact,Yes,7,3739,3.5,3.1,No,Yes,High,5.3,Stable,No,High
2005,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Small Arms & Light Weapons,ATGM,Offensive,13.0,61,Multilateral Programme,No,7,9325,4.9,2.9,No,No,High,1.3,Accelerating,No,Medium
2018,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Combat Aircraft,Fighter Jet,Offensive,221.0,18,Government-to-Government,No,16,2166,3.8,4.6,No,No,Low,1.2,Stable,No,Low
2007,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Naval Vessels,Corvette,Offensive,251.1,12,Bilateral Defence Pact,No,11,7158,4.9,4.5,No,No,Low,1.7,Stable,No,Low
2016,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Artillery & Ammunition,Mortar System,Offensive,257.1,55,Government-to-Government,Yes,29,1398,3.1,4.2,Yes,Yes,Low,3.8,Stable,No,High
2018,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Helicopters,Transport Helicopter,Defensive,84.0,3,Government-to-Government,No,30,1462,3.4,3.9,Yes,Yes,Low,3.7,Accelerating,No,High
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,24.3,341,Multilateral Programme,No,47,6838,4.8,4.7,No,No,Low,1.3,Declining,No,Low
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Combat Aircraft,Multi-Role Aircraft,Offensive,471.9,20,Bilateral Defence Pact,No,24,2142,4.0,4.7,No,No,Low,1.2,Stable,No,Medium
2006,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,92.5,39,Bilateral Defence Pact,No,15,3880,3.6,3.0,No,Yes,High,5.4,Stable,No,High
2005,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Missiles & Air Defence,SAM System,Defensive,377.7,22,Offset Agreement,Yes,32,1432,3.1,4.1,Yes,Yes,Low,4.0,Declining,No,High
2014,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Missiles & Air Defence,Cruise Missile,Offensive,69.5,62,Government-to-Government,No,10,1487,3.1,3.9,Yes,Yes,Low,3.5,Accelerating,No,High
2020,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Helicopters,Attack Helicopter,Offensive,36.7,23,Government-to-Government,Yes,9,2111,3.0,2.6,No,No,High,1.6,Declining,No,Low
2005,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Artillery & Ammunition,Mortar System,Offensive,9.5,72,Foreign Military Sales,No,27,3753,3.4,3.2,No,Yes,High,5.5,Accelerating,No,High
2017,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,51.8,29,Offset Agreement,No,28,10424,4.8,2.8,No,No,High,0.9,Stable,No,Medium
2007,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kenya,KEN,Sub-Saharan Africa,Naval Vessels,Patrol Boat,Defensive,127.8,15,Direct Commercial Sale,No,20,1677,3.3,4.5,Yes,No,Low,1.3,Stable,No,Medium
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,153.5,55,Foreign Military Sales,Yes,9,7513,5.2,4.5,No,No,Low,1.7,Accelerating,No,Medium
2008,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Ethiopia,ETH,Sub-Saharan Africa,Combat Aircraft,Trainer/Light Combat,Defensive,173.2,7,Foreign Military Sales,No,6,859,2.1,2.8,Yes,Yes,Low,0.8,Accelerating,Yes,High
2018,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Small Arms & Light Weapons,ATGM,Offensive,10.5,485,Bilateral Defence Pact,Yes,15,7042,5.1,4.4,No,No,Low,1.7,Accelerating,No,Low
2024,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Combat Aircraft,Fighter Jet,Offensive,333.3,9,Direct Commercial Sale,Yes,7,1618,3.0,4.1,Yes,Yes,Low,3.7,Declining,No,High
2014,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Helicopters,Utility Helicopter,Defensive,254.5,10,Bilateral Defence Pact,No,8,2370,4.1,4.8,No,No,Low,1.2,Declining,No,Low
2009,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Small Arms & Light Weapons,Sniper System,Offensive,31.7,432,Offset Agreement,No,46,7111,5.1,4.4,No,No,Low,1.6,Declining,No,Low
2018,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Armoured Vehicles,APC,Defensive,64.5,65,Government-to-Government,No,23,2176,4.3,4.7,No,No,Low,1.3,Stable,No,Low
2008,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Armoured Vehicles,APC,Defensive,172.0,97,Government-to-Government,No,38,2145,3.8,4.7,No,No,Low,1.2,Declining,No,Low
2017,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,164.6,60,Foreign Military Sales,Yes,42,2047,3.8,4.9,No,No,Low,1.4,Stable,No,Low
2014,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Small Arms & Light Weapons,Sniper System,Offensive,10.4,187,Foreign Military Sales,No,35,1484,3.1,4.0,Yes,Yes,Low,3.5,Stable,No,Medium
2006,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Helicopters,Utility Helicopter,Defensive,237.7,21,Multilateral Programme,No,21,1604,3.4,4.2,Yes,Yes,Low,3.9,Stable,No,High
2019,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Armoured Vehicles,APC,Defensive,5.5,92,Government-to-Government,Yes,6,1488,3.5,4.0,Yes,Yes,Low,3.9,Declining,No,High
2014,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Sensors & Electronics,Radar System,Defensive,119.9,17,Foreign Military Sales,Yes,22,1507,3.1,4.0,Yes,Yes,Low,4.1,Accelerating,No,High
2023,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Naval Vessels,Corvette,Offensive,85.9,12,Foreign Military Sales,Yes,39,2226,4.2,4.7,No,No,Low,1.5,Stable,No,Medium
2010,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Helicopters,Utility Helicopter,Defensive,47.0,11,Direct Commercial Sale,No,26,3929,3.5,3.1,No,Yes,High,5.6,Stable,No,High
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Small Arms & Light Weapons,ATGM,Offensive,8.9,437,Offset Agreement,No,21,1417,3.2,4.2,Yes,Yes,Low,3.5,Stable,No,High
2024,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Sensors & Electronics,Radar System,Defensive,29.4,1,Government-to-Government,No,8,2150,3.3,2.7,No,No,High,1.7,Declining,No,Low
2011,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kenya,KEN,Sub-Saharan Africa,Armoured Vehicles,Main Battle Tank,Offensive,94.8,88,Government-to-Government,No,34,1903,3.6,4.5,Yes,No,Low,1.0,Stable,No,Medium
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Combat Aircraft,Trainer/Light Combat,Defensive,236.8,4,Government-to-Government,Yes,35,7077,4.7,4.5,No,No,Low,1.6,Declining,No,Low
2024,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Artillery & Ammunition,MLRS,Offensive,112.3,26,Direct Commercial Sale,No,44,9496,4.9,3.0,No,No,High,1.4,Stable,No,Low
2015,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Small Arms & Light Weapons,ATGM,Offensive,10.3,207,Bilateral Defence Pact,No,44,2372,4.2,4.6,No,No,Low,1.4,Stable,No,Medium
2005,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Combat Aircraft,Trainer/Light Combat,Defensive,144.1,13,Government-to-Government,Yes,35,1458,3.0,4.0,Yes,Yes,Low,4.1,Accelerating,No,High
2020,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Indonesia,IDN,East Asia & Pacific,Missiles & Air Defence,MANPADS,Defensive,228.5,46,Bilateral Defence Pact,Yes,10,4278,5.3,6.2,No,Yes,Medium,0.7,Declining,No,Low
2009,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Artillery & Ammunition,Mortar System,Offensive,65.7,74,Government-to-Government,Yes,25,1527,3.2,4.2,Yes,Yes,Low,3.9,Declining,No,High
2023,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Vietnam,VNM,East Asia & Pacific,Helicopters,Attack Helicopter,Offensive,218.7,14,Direct Commercial Sale,Yes,20,3387,5.6,2.9,No,Yes,Low,2.3,Stable,No,Medium
2013,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Missiles & Air Defence,SAM System,Defensive,110.3,52,Multilateral Programme,No,8,3447,3.6,3.3,No,Yes,High,5.3,Stable,No,High
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Missiles & Air Defence,MANPADS,Defensive,238.7,58,Bilateral Defence Pact,No,38,2122,4.0,4.8,No,No,Low,1.1,Declining,No,Low
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Naval Vessels,Corvette,Offensive,221.8,8,Direct Commercial Sale,No,45,6718,4.8,4.5,No,No,Low,1.5,Declining,No,Low
2013,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Small Arms & Light Weapons,ATGM,Offensive,6.5,122,Government-to-Government,No,42,7474,5.0,4.4,No,No,Low,1.1,Stable,No,Low
2016,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Armoured Vehicles,Main Battle Tank,Offensive,60.4,25,Direct Commercial Sale,No,7,1445,3.0,3.9,Yes,Yes,Low,3.6,Stable,No,High
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Armoured Vehicles,APC,Defensive,74.4,61,Foreign Military Sales,Yes,36,2323,4.2,5.0,No,No,Low,1.2,Stable,No,Low
2006,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Armoured Vehicles,APC,Defensive,196.1,33,Offset Agreement,Yes,34,9520,4.6,2.7,No,No,High,0.9,Stable,No,Medium
2009,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Sensors & Electronics,EW Suite,Defensive,30.9,8,Direct Commercial Sale,No,40,7485,4.9,4.5,No,No,Low,1.4,Declining,No,Low
2018,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Armoured Vehicles,APC,Defensive,301.3,104,Government-to-Government,Yes,25,1474,3.1,4.2,Yes,Yes,Low,3.6,Declining,No,High
2005,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Artillery & Ammunition,MLRS,Offensive,61.2,60,Government-to-Government,No,19,2249,4.0,4.6,No,No,Low,1.4,Declining,No,Low
2021,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Naval Vessels,Frigate,Offensive,354.3,5,Offset Agreement,No,8,2075,2.8,2.5,No,No,High,1.5,Stable,No,High
2007,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Naval Vessels,Corvette,Offensive,850.0,21,Offset Agreement,No,11,7273,5.2,4.5,No,No,Low,1.4,Stable,No,Low
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Helicopters,Attack Helicopter,Offensive,112.9,15,Multilateral Programme,No,41,7588,4.9,4.7,No,No,Low,1.2,Stable,No,Low
2008,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Vietnam,VNM,East Asia & Pacific,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,177.2,13,Bilateral Defence Pact,Yes,39,3786,5.6,2.9,No,Yes,Low,2.5,Stable,No,Medium
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Armoured Vehicles,APC,Defensive,35.0,94,Foreign Military Sales,No,28,2112,4.0,4.9,No,No,Low,0.9,Declining,No,Low
2023,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Artillery & Ammunition,Mortar System,Offensive,58.0,78,Offset Agreement,No,32,7400,5.0,4.6,No,No,Low,1.1,Stable,No,Medium
2009,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kenya,KEN,Sub-Saharan Africa,Helicopters,Attack Helicopter,Offensive,256.8,22,Government-to-Government,No,28,1742,3.2,4.3,Yes,No,Low,0.9,Declining,No,Medium
2019,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Ethiopia,ETH,Sub-Saharan Africa,Missiles & Air Defence,SAM System,Defensive,711.1,18,Bilateral Defence Pact,No,27,831,2.1,2.8,Yes,Yes,Low,0.6,Accelerating,Yes,High
2017,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Missiles & Air Defence,MANPADS,Defensive,315.1,19,Offset Agreement,No,20,1594,3.5,4.2,Yes,Yes,Low,3.8,Declining,No,High
2011,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Sensors & Electronics,Targeting Pod,Offensive,17.6,15,Direct Commercial Sale,Yes,11,1430,3.4,4.1,Yes,Yes,Low,3.8,Accelerating,No,High
2023,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Combat Aircraft,UAV/Drone,Offensive,910.3,21,Government-to-Government,No,14,9889,4.6,3.1,No,No,High,1.1,Stable,No,Low
2024,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Artillery & Ammunition,Mortar System,Offensive,106.9,29,Offset Agreement,Yes,15,1399,3.4,4.0,Yes,Yes,Low,3.6,Stable,No,High
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Indonesia,IDN,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,47.3,54,Multilateral Programme,No,15,4091,5.0,6.4,No,Yes,Medium,0.6,Declining,No,Low
2011,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Naval Vessels,Corvette,Offensive,400.8,22,Bilateral Defence Pact,No,15,1564,3.0,4.2,Yes,Yes,Low,3.7,Stable,No,High
2010,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Naval Vessels,Patrol Boat,Defensive,212.4,2,Foreign Military Sales,No,29,2207,4.1,4.9,No,No,Low,1.2,Declining,No,Low
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Combat Aircraft,Fighter Jet,Offensive,812.5,12,Foreign Military Sales,Yes,33,1549,3.4,4.2,Yes,Yes,Low,3.6,Accelerating,No,High
2023,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Naval Vessels,Frigate,Offensive,616.3,21,Bilateral Defence Pact,Yes,20,10542,5.0,2.8,No,No,High,1.4,Accelerating,No,Medium
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Combat Aircraft,Fighter Jet,Offensive,165.5,23,Bilateral Defence Pact,No,6,1876,3.2,2.5,No,No,High,1.7,Declining,No,Medium
2005,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Nigeria,NGA,Sub-Saharan Africa,Artillery & Ammunition,MLRS,Offensive,92.9,21,Foreign Military Sales,No,30,1958,2.7,4.2,Yes,Yes,High,0.4,Stable,No,High
2007,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Vietnam,VNM,East Asia & Pacific,Sensors & Electronics,EW Suite,Defensive,78.1,24,Foreign Military Sales,No,37,3642,5.6,3.0,No,Yes,Low,2.5,Accelerating,No,Medium
2020,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Helicopters,Transport Helicopter,Defensive,197.9,13,Foreign Military Sales,Yes,24,1610,3.1,4.0,Yes,Yes,Low,3.8,Declining,No,High
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,12.8,93,Bilateral Defence Pact,No,28,1441,3.1,4.0,Yes,Yes,Low,3.8,Accelerating,No,High
2011,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kenya,KEN,Sub-Saharan Africa,Artillery & Ammunition,Mortar System,Offensive,284.5,34,Government-to-Government,No,35,1898,3.5,4.6,Yes,No,Low,0.9,Stable,No,Medium
2014,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Artillery & Ammunition,MLRS,Offensive,73.6,68,Government-to-Government,Yes,44,1919,3.0,2.6,No,No,High,1.4,Stable,No,Medium
2013,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kenya,KEN,Sub-Saharan Africa,Missiles & Air Defence,Cruise Missile,Offensive,449.4,29,Government-to-Government,Yes,29,1928,3.3,4.4,Yes,No,Low,1.4,Stable,No,High
2007,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Ethiopia,ETH,Sub-Saharan Africa,Helicopters,Naval Helicopter,Defensive,80.4,15,Bilateral Defence Pact,No,19,877,2.5,3.1,Yes,Yes,Low,0.6,Accelerating,Yes,High
2018,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,11.3,51,Foreign Military Sales,Yes,29,2042,3.9,4.8,No,No,Low,1.4,Declining,No,Low
2021,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Artillery & Ammunition,Mortar System,Offensive,116.9,72,Offset Agreement,Yes,19,1506,3.0,4.1,Yes,Yes,Low,3.8,Stable,No,High
2013,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Indonesia,IDN,East Asia & Pacific,Armoured Vehicles,APC,Defensive,116.9,75,Foreign Military Sales,Yes,14,4201,5.1,6.2,No,Yes,Medium,1.0,Stable,No,Low
2016,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Armoured Vehicles,APC,Defensive,114.2,6,Bilateral Defence Pact,No,28,2026,4.2,4.6,No,No,Low,1.5,Stable,No,Low
2011,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,24.3,299,Government-to-Government,No,29,2117,3.7,4.6,No,No,Low,1.1,Stable,No,High
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Missiles & Air Defence,Cruise Missile,Offensive,355.6,58,Government-to-Government,No,31,10440,4.5,2.9,No,No,High,1.1,Stable,No,Low
2017,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,335.9,6,Government-to-Government,No,19,2057,3.7,4.6,No,No,Low,1.0,Stable,No,Low
2021,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kenya,KEN,Sub-Saharan Africa,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,8.8,221,Multilateral Programme,Yes,21,1943,3.5,4.4,Yes,No,Low,0.9,Accelerating,No,High
2021,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Combat Aircraft,Fighter Jet,Offensive,103.8,19,Government-to-Government,Yes,18,1401,3.0,4.2,Yes,Yes,Low,3.9,Accelerating,No,High
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Ethiopia,ETH,Sub-Saharan Africa,Missiles & Air Defence,MANPADS,Defensive,396.2,18,Direct Commercial Sale,Yes,15,941,2.4,3.0,Yes,Yes,Low,0.5,Stable,Yes,High
2007,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,106.1,46,Multilateral Programme,Yes,47,3660,3.6,3.1,No,Yes,High,5.2,Declining,No,High
2021,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,116.9,108,Bilateral Defence Pact,No,21,3748,3.5,3.3,No,Yes,High,5.3,Stable,No,High
2019,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Sensors & Electronics,Radar System,Defensive,48.7,19,Direct Commercial Sale,No,36,6910,5.1,4.5,No,No,Low,1.4,Declining,No,Low
2022,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Armoured Vehicles,Main Battle Tank,Offensive,254.7,27,Offset Agreement,Yes,34,2085,3.9,4.8,No,No,Low,1.2,Declining,No,Low
2017,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,4.4,467,Government-to-Government,Yes,31,6696,5.1,4.8,No,No,Low,1.3,Declining,No,Low
2014,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,357.1,16,Government-to-Government,No,7,7159,4.7,4.5,No,No,Low,1.5,Declining,No,Low
2008,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,41.3,61,Multilateral Programme,No,47,3605,3.5,3.2,No,Yes,High,5.4,Accelerating,No,High
2007,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Armoured Vehicles,APC,Defensive,76.3,49,Bilateral Defence Pact,No,22,2089,4.2,5.0,No,No,Low,1.4,Declining,No,Low
2010,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,191.8,9,Offset Agreement,No,39,1427,3.2,4.1,Yes,Yes,Low,4.0,Accelerating,No,High
2024,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Combat Aircraft,Fighter Jet,Offensive,144.0,18,Multilateral Programme,Yes,32,1495,3.1,4.2,Yes,Yes,Low,3.5,Declining,No,High
2020,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Sensors & Electronics,Radar System,Defensive,117.6,4,Direct Commercial Sale,No,20,10280,4.6,3.0,No,No,High,1.4,Stable,No,Low
2006,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Armoured Vehicles,APC,Defensive,27.1,63,Multilateral Programme,No,47,1530,3.0,3.9,Yes,Yes,Low,3.7,Accelerating,No,High
2005,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,39.6,281,Foreign Military Sales,Yes,20,1929,3.1,2.7,No,No,High,1.6,Stable,No,Medium
2006,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Artillery & Ammunition,Guided Munitions,Offensive,89.5,27,Foreign Military Sales,Yes,6,9338,4.5,3.0,No,No,High,1.1,Declining,No,Low
2013,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Ethiopia,ETH,Sub-Saharan Africa,Helicopters,Naval Helicopter,Defensive,204.9,4,Direct Commercial Sale,Yes,15,878,2.4,2.9,Yes,Yes,Low,0.6,Accelerating,Yes,High
2019,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kenya,KEN,Sub-Saharan Africa,Armoured Vehicles,IFV,Offensive,117.5,95,Government-to-Government,Yes,14,1769,3.6,4.4,Yes,No,Low,1.0,Accelerating,No,High
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Pakistan,PAK,South Asia,Sensors & Electronics,C4ISR Package,Defensive,120.5,21,Government-to-Government,Yes,44,1499,3.3,3.9,Yes,Yes,Low,3.9,Stable,No,High
2012,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Kenya,KEN,Sub-Saharan Africa,Small Arms & Light Weapons,ATGM,Offensive,33.9,160,Bilateral Defence Pact,No,17,1899,3.3,4.5,Yes,No,Low,0.9,Stable,No,Medium
2011,China,CHN,East Asia & Pacific,Non-Aligned,Yes,Thailand,THA,East Asia & Pacific,Missiles & Air Defence,Cruise Missile,Offensive,241.7,7,Foreign Military Sales,Yes,24,7334,4.8,4.7,No,No,Low,1.7,Stable,No,Low
